Hacienda,Corte,Ambiente,env,Parcela,Entry,Rep,Block,Variedad,Name,FS,FC,FE,Edad,env1,New,Treatn,Poblacion,Alt,Diam,N_Entre,L_Entre,L_Hojas,A_Hojas,N_Hojas_V,N_Hojas_S,TCH,IDD,periodo,Diseno,TCH1
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,43,221,1,4,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,12.11111111,,,,,160.3,5.51,,,,44,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,50,221,1,5,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,11.61111111,,,,,152.4,5.04,,,,51,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,67,221,1,6,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,10.44444444,,,,,142.8,4.79,,,,68,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,73,221,1,7,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,14.55555556,,,,,149.2,5.71,,,,74,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,87,221,1,9,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,11.55555556,,,,,155.7,5.74,,,,88,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,99,221,1,8,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,10,,,,,155.1,5.57,,,,100,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,103,218,1,8,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,9.722222222,,,,,153.8,6.09,,,,104,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,113,100,1,10,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,11.5,,,,,151.5,4.41,,,,114,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,132,222,1,11,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,11.33333333,,,,,141.1,5.52,,,,133,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,135,221,1,12,CC 85-92,S29,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 85-92,10.5,,,,,159.3,4.92,,,,136,4,AIBD,
