Parcela,Hacienda,Fibra_larga,Fibra_corta,Medula,Fibra_cana,Brix_cana,Sacarosa_cana,Name,Rep,Block,Ambiente
442,Balsora,49.25620283,5.138715457,45.60508171,10.47420169,14.92579831,12.64101699,S164,2,102,Balsora_1
443,Balsora,30.01845088,11.5788681,58.40268103,13.53317605,16.96682395,15.50593714,S58,2,102,Balsora_1
444,Balsora,49.08498425,4.732616859,46.1823989,13.93948416,16.46051584,14.80464826,S177,2,103,Balsora_1
445,Balsora,42.55983131,9.271481286,48.1686874,11.45702863,17.44297137,15.60406803,S67,2,103,Balsora_1
446,Balsora,49.48916813,8.190089116,42.32074276,16.46517077,17.83482923,16.05713444,S137,2,103,Balsora_1
447,Balsora,34.82202533,16.95258008,48.22539459,16.96341212,14.33658788,12.41495373,S101,2,103,Balsora_1
448,Balsora,43.14789688,16.96065129,39.89145183,13.98285072,15.01714928,12.95974612,S90,2,103,Balsora_1
449,Balsora,45.39422602,7.974518247,46.63125574,13.74137136,15.25862864,13.42880291,S128,2,104,Balsora_1
450,Balsora,47.22285667,5.421399057,47.35574427,13.48155848,15.01844152,12.90562652,S203,2,104,Balsora_1
451,Balsora,38.01526718,21.98473282,40,17.40055159,10.99944841,7.777487709,S161,2,104,Balsora_1
452,Balsora,39.13052062,8.185425757,52.68405362,13.9224161,15.2775839,13.55082231,S112,2,104,Balsora_1
453,Balsora,49.59887788,8.8879766,41.51314552,18.27758024,15.52241976,13.65496182,S79,2,105,Balsora_1
454,Balsora,51.6888434,14.32958035,33.98157625,21.06481389,9.235186111,6.206806781,S156,2,105,Balsora_1
455,Balsora,40.64236111,10.30598958,49.05164931,13.46177583,13.13822417,10.8911934,S159,2,105,Balsora_1
456,Balsora,38.2461089,10.77670881,50.97718229,13.5633546,16.1366454,14.16005587,S77,2,105,Balsora_1
457,Balsora,45.66787004,17.68953069,36.64259928,12.25229145,16.24770855,14.66398619,S64,2,106,Balsora_1
458,Balsora,31.39366661,19.93047742,48.67585597,14.14449348,18.15550652,16.55621919,S175,2,106,Balsora_1
459,Balsora,42.77372263,14.01459854,43.21167883,15.08631979,15.41368021,13.58060794,S22,2,106,Balsora_1
460,Balsora,34.14239482,17.30976682,48.54783835,13.95027466,16.54972534,14.74145457,S172,2,106,Balsora_1
461,Balsora,30.88475819,11.08339598,58.03184583,13.19635332,16.30364668,14.53997734,S141,2,106,Balsora_1
462,Balsora,32.76118463,10.29363579,56.94517958,11.1247041,17.7752959,16.15496643,S189,2,107,Balsora_1
463,Balsora,39.7994105,4.336214912,55.86437459,13.28078828,16.01921172,14.41402199,S52,2,107,Balsora_1
464,Balsora,35.7464907,16.20758264,48.04592666,16.30449756,14.19550244,12.0758554,S148,2,107,Balsora_1
465,Balsora,44.04808332,10.36452479,45.58739189,12.84980308,15.55019692,13.6967621,S75,2,107,Balsora_1
466,Balsora,41.01934419,14.82316472,44.15749109,14.94406384,16.15593616,14.46049323,S115,2,108,Balsora_1
467,Balsora,41.70692432,14.81481481,43.47826087,11.68896218,16.71103782,14.80484415,S70,2,108,Balsora_1
468,Balsora,35.14697427,10.65688968,54.19613605,11.18062174,17.51937826,16.11842259,S65,2,108,Balsora_1
469,Balsora,46.30247733,10.24527,43.45225267,15.18059872,15.31940128,13.36981055,S40,2,108,Balsora_1
470,Balsora,50.27468348,7.25194821,42.47336831,13.51105879,16.68894121,14.94690813,S29,2,109,Balsora_1
471,Balsora,47.14572245,5.702844879,47.15143267,13.21993748,16.88006252,15.04755804,S178,2,109,Balsora_1
472,Balsora,34.29891887,11.38689445,54.31418668,14.19941414,15.90058586,14.09901908,S54,2,109,Balsora_1
473,Balsora,49.54799074,11.77890732,38.67310194,13.4507078,15.1492922,13.14972955,S219,2,109,Balsora_1
474,Balsora,46.07114625,7.869000565,46.05985319,11.72806924,16.07193076,14.09856571,S32,2,109,Balsora_1
475,Balsora,48.12936959,9.146184469,42.72444594,13.791653,15.008347,13.16147857,S109,2,110,Balsora_1
476,Balsora,41.85303514,15.65495208,42.49201278,13.68573949,16.01426051,14.16998198,S220,2,110,Balsora_1
477,Balsora,27.95872463,10.0621418,61.97913357,16.1969975,15.1030025,13.12731179,S47,2,110,Balsora_1
