Parcela,Hacienda,Fibra_larga,Fibra_corta,Medula,Fibra_cana,Brix_cana,Sacarosa_cana,Name,Rep,Block,Ambiente
210,Balsora,33.50425742,6.938890718,59.55685186,10.88804209,18.01195791,16.52258685,S10,1,49,Balsora_1
211,Balsora,35.90647774,5.595093073,58.49842919,10.63240956,17.06759044,15.21679404,S31,1,49,Balsora_1
212,Balsora,42.49619791,1.900030417,55.60377167,11.54356438,13.55643562,10.96801318,S215,1,49,Balsora_1
213,Balsora,30.29161081,7.50145426,62.20693493,12.10918289,19.19081711,17.8165768,S178,1,49,Balsora_1
214,Balsora,51.02012659,3.757998034,45.22187538,16.27443676,16.02556324,14.13964516,S86,1,50,Balsora_1
215,Balsora,41.24592087,2.95530378,55.79877535,14.05586201,15.74413799,13.71336174,S97,1,50,Balsora_1
216,Balsora,31.58860949,15.18165905,53.22973146,12.52033826,18.37966174,16.88619841,S34,1,50,Balsora_1
217,Balsora,29.05804966,5.195898208,65.74605214,12.62941155,17.37058845,15.98759848,S100,1,50,Balsora_1
218,Balsora,47.01306848,3.757449033,49.22948249,10.65301989,16.74698011,14.90561565,S51,1,51,Balsora_1
219,Balsora,46.57515197,5.945806349,47.47904168,11.50036564,13.89963436,11.47625194,S81,1,51,Balsora_1
220,Balsora,34.11851307,11.61207214,54.2694148,14.48043108,16.21956892,14.36387337,S148,1,51,Balsora_1
221,Balsora,43.05900207,6.34933656,50.59166137,10.43753343,16.66246657,14.89143577,S37,1,51,Balsora_1
222,Balsora,44.99668655,4.831793552,50.1715199,12.05152931,16.74847069,14.95521128,S177,1,52,Balsora_1
223,Balsora,32.01492537,2.679570896,65.30550373,9.231374436,17.86862556,16.18534483,S63,1,52,Balsora_1
224,Balsora,33.19501187,4.474770593,62.33021754,10.67607062,17.02392938,15.06953155,S23,1,52,Balsora_1
225,Balsora,40.16294446,3.77883769,56.05821785,14.08697219,18.01302781,16.45369321,S204,1,52,Balsora_1
226,Balsora,36.75816993,9.791855204,53.44997486,13.25451966,15.74548034,13.61036695,S131,1,52,Balsora_1
227,Balsora,46.70178221,6.317021598,46.98119619,13.0642872,16.0357128,14.08844721,S91,1,53,Balsora_1
228,Balsora,39.92825844,4.884440244,55.18730131,12.94520685,14.05479315,11.52052238,S124,1,53,Balsora_1
229,Balsora,46.17754814,2.572099577,51.25035228,11.79441101,17.50558899,15.71441694,S30,1,53,Balsora_1
230,Balsora,34.30151807,10.63866079,55.05982115,7.12875415,17.27124585,15.45037772,S206,1,53,Balsora_1
231,Balsora,26.6121016,16.24050927,57.14738913,12.38450116,17.61549884,15.86550998,S195,1,54,Balsora_1
232,Balsora,57.34621541,3.8860622,38.76772239,16.51184854,9.688151463,6.030695796,S101,1,54,Balsora_1
233,Balsora,41.10753487,3.340348271,55.55211686,12.6467333,15.6532667,13.55938547,S5,1,54,Balsora_1
