Hacienda,Corte,Ambiente,env,Parcela,Entry,Rep,Block,Variedad,Name,FS,FC,FE,Edad,env1,New,Treatn,Poblacion,Alt,Diam,N_Entre,L_Entre,L_Hojas,A_Hojas,N_Hojas_V,N_Hojas_S,TCH,IDD,periodo,Diseno,TCH1
Balsora,1,Balsora_1,Balsora_1_4.3,707,23,3,163,CC 01-1567,S17,42251,42667,42380,4.3,Balsora_1_4,,,12,72.1,,,,,,,,,3084,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,101,151,1,8,CC 01-1567,S17,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.5,,,,,153,4.14,,,,102,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,101,151,1,8,CC 01-1567,S17,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,9.666666667,314.4,2.97,20.8,17.9,152.9,4.87,,,,1158,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,139,24,1,32,CC 01-174,S169,42251,42667,42380,4.3,Balsora_1_4,,,14.6,110,,,,,,,,,2516,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,315,24,2,73,CC 01-174,S169,42251,42667,42380,4.3,Balsora_1_4,,,11.4,115.1,,,,,,,,,2692,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,636,24,3,147,CC 01-174,S169,42251,42667,42380,4.3,Balsora_1_4,,,17.7,120.8,,,,,,,,,3013,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,107,19,1,7,CC 01-174,S169,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,10.83333333,,,,,145.6,4.28,,,,108,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,107,19,1,7,CC 01-174,S169,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,9.833333333,224.7,2.85,20,12.2,147.1,4.77,,,,1164,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,187,25,1,43,CC 01-1789,S18,42251,42667,42380,4.3,Balsora_1_4,,,23.5,105.5,,,,,,,,,2564,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,425,25,2,98,CC 01-1789,S18,42251,42667,42380,4.3,Balsora_1_4,,,11.7,82.8,,,,,,,,,2802,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,683,25,3,158,CC 01-1789,S18,42251,42667,42380,4.3,Balsora_1_4,,,22.1,94.8,,,,,,,,,3060,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,179,24,1,15,CC 01-1789,S18,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,15.22222222,,,,,135.2,3.99,,,,180,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,179,24,1,15,CC 01-1789,S18,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,8.888888889,291.3333333,3.14,20.4,11.5,149.5,6.66,,,,1236,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,83,26,1,19,CC 01-1817,S175,42251,42667,42380,4.3,Balsora_1_4,,,15.3,136.3,,,,,,,,,2460,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,458,26,2,106,CC 01-1817,S175,42251,42667,42380,4.3,Balsora_1_4,,,21.1,128.4,,,,,,,,,2835,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,553,26,3,128,CC 01-1817,S175,42251,42667,42380,4.3,Balsora_1_4,,,15.1,142.8,,,,,,,,,2930,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,156,192,1,13,CC 01-1817,S175,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,10.94444444,,,,,166.7,3.71,,,,157,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,156,192,1,13,CC 01-1817,S175,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,8.166666667,254.4,3.03,12,16.5,153.3,4.82,,,,1213,10,AIBD,
